sample_id,temperature_C,pressure_MPa,concentration_ppm,notes
S01,100,1,307,calibration
S02,110,5,345,field
S03,120,2,369,field
S04,130,8,411,calibration
S05,140,3,431,field
S06,150,7,469,field
S07,160,4,493,calibration
S08,170,10,535,field
S09,180,6,557,field
S10,190,9,593,calibration
S11,200,1,607,field
S12,210,5,645,field
S13,220,2,669,calibration
S14,230,8,711,field
S15,240,3,731,
S16,250,7,769,calibration
S17,260,4,793,field
S18,270,10,835,field
S19,280,6,857,calibration
S20,290,9,893,field
S21,300,1,907,field
S22,310,5,945,calibration
S23,320,2,969,field
S24,330,8,1011,field
S25,340,3,1031,calibration
S26,350,7,1069,field
S27,360,4,1093,field
S28,370,10,1135,calibration
S29,380,6,1157,field
S30,390,9,1193,field
